sep=,
"flag","Vessel Name","registeredOwner","callSign","MMSI","imo","shipType","destination","eta","navigationStatus","Latitude","Longitude","age","timeOfFix"
"Cyprus","OCEANIA GRAECA","Oceania Graeca Navigation Ltd","5BGD5","209623000","9841952","7-Cargo","Mu Plu","8201000","0-Underway(Engine)","-27.752635","46.372705","17m47s","2025-08-19T05:32:42.000Z"
"Malta","AP JADRAN","Atlant Ice Panamax Corp","9HA5388","215945000","9511246","7-Cargo","Za Rcb","8211200","0-Underway(Engine)","-24.821052","47.777853","18m18s","2025-08-19T05:32:11.000Z"
"Denmark (Dis)","MATZ MAERSK","Maersk A/S","OWJM2","219019365","9619983","7-Cargo","Nlrot>mytpp","8300230","0-Underway(Engine)","-27.908533","46.3138","18m12s","2025-08-19T05:32:17.000Z"
"Isle Of Man","BERGE MOLDOVEANU","Berge Moldoveanu Co Inc","MGAW9","232024253","9843390","7-Cargo","Br Spb","9080530","0-Underway(Engine)","-24.189157","48.133723","18m54s","2025-08-19T05:31:35.000Z"
"Isle Of Man","BERGE BLANC","Berge Blanc Co SA","2FRS7","235091363","9531882","7-Cargo","Brtub","9041500","0-Underway(Engine)","-25.952957","45.457022","19m30s","2025-08-19T05:30:59.000Z"
"Netherlands","STENA FORERUNNER","Stena RoRo Navigation Ltd","PCPG","244030593","9227259","7-Cargo","Singapore","8291200","0-Underway(Engine)","-24.693863","48.397767","1m40s","2025-08-19T05:48:49.000Z"
"Italy","GRANDE HOUSTON","Grimaldi Euromed SpA","IBQR","247408300","9782699","7-Cargo","Cntac>maptm","9051500","0-Underway(Engine)","-24.742005","47.909402","31s","2025-08-19T05:49:58.000Z"
"Malta","CMA CGM NINGBO","CMA CGM SA The French Line","9HA6171","249218000","9295218","7-Cargo","Sgsin Pwbga","8290400","0-Underway(Engine)","-27.347533","46.0305","17m22s","2025-08-19T05:33:07.000Z"
"Malta","NEFELI","Sea 225 Leasing Co Ltd","9HA4228","249390000","9696462","7-Cargo","Zarcb>bdcgp","9020600","0-Underway(Engine)","-23.705762","49.383577","2m55s","2025-08-19T05:47:34.000Z"
"Malta","DALIAN","Medsea Marine Inc","9HXJ9","249675000","9391268","7-Cargo","Lkcmb-zadur","8221800","0-Underway(Engine)","-11.872267","48.454683","59s","2025-08-19T05:49:30.000Z"
"Malta","CMA CGM BIANCA","Teucarrier No 3 Corp","9HA2889","256604000","9436367","7-Cargo","Usnyc","9081030","0-Underway(Engine)","-24.292567","48.170917","1m02s","2025-08-19T05:49:27.000Z"
"Malta","CMA CGM PARATY","Paraty 1841 Bail SNC","9HA5980","256807000","9938262","7-Cargo","Brrio","8310400","0-Underway(Engine)","-24.865337","47.991445","18m06s","2025-08-19T05:32:23.000Z"
"Bahamas","ICARIAN SPIRE","Icarian Spire Navigation Co SA","C6FC5","311001070","9687136","7-Cargo","Uymvd","9070900","0-Underway(Engine)","-26.109498","46.30109","2m10s","2025-08-19T05:48:19.000Z"
"Bahamas","SAGA FALCON","Saga Shipholding Norway AS","C6HZ4","311001609","9613848","7-Cargo","Sgsin Pebgb","9060005","0-Underway(Engine)","-27.395675","45.638557","19m16s","2025-08-19T05:31:13.000Z"
"Panama","GRAND STAR","Huiteng Tianjin Shipping","3E2752","352001837","9593775","7-Cargo","Brazil Praiamole","9081200","0-Underway(Engine)","-24.550902","49.725348","16m10s","2025-08-19T05:34:19.000Z"
"Panama","LOWLANDS ISLAND","Ambitious Line SA","3E7422","352003250","9984534","7-Cargo","Vn Hon > Us Chs","9161600","0-Underway(Engine)","-27.656595","43.347672","1m05s","2025-08-19T05:49:24.000Z"
"Panama","HARMONY","Olympic Maritime & Trading Co","3E7470","352003307","9449522","7-Cargo","Cn Mch","9101200","0-Underway(Engine)","-26.05144","46.40306","19m46s","2025-08-19T05:30:43.000Z"
"Panama","TS INDIAN OCEAN","Indian Ocean Training Ship","3E7733","352004249","9149990","7-Cargo","Mg Voh","8140600","5-Moored","-13.353503","50.006415","33m16s","2025-08-19T05:17:13.000Z"
"Panama","HIROMOTO","Hiromoto Shipping Co Ltd","3E6706","352004405","9369100","7-Cargo","Cn Xmn","9111500","0-Underway(Engine)","-25.876267","44.9891","3m09s","2025-08-19T05:47:20.000Z"
"Panama","Vosco Starlight","null","3E7279","352005078","9514030","7-Cargo","Pebgb Sing","9012000","0-Underway(Engine)","-22.506798","50.299658","1m15s","2025-08-19T05:49:14.000Z"
"Panama","CHANG SHOU STAR","Changshou Star Ship Ltd","3FOK5","353251000","9446439","7-Cargo","Kamsar","9072359","0-Underway(Engine)","-24.92315","50.108767","1m23s","2025-08-19T05:49:06.000Z"
"Panama","BAY BRIDGE","Wealth Line Inc","3FCS5","354120000","9463267","7-Cargo","Zadur","8181600","0-Underway(Engine)","-25.867927","45.955868","20m01s","2025-08-19T05:30:28.000Z"
"Panama","CMB BRUEGEL","Blue Cypress Line SA","HOQA","354519000","9894765","7-Cargo","Uspau","9161600","0-Underway(Engine)","-24.465628","50.692522","3m25s","2025-08-19T05:47:04.000Z"
"Panama","JIN DA HAI","Jindahai Shipping Inc","H9KU","354908000","9516533","7-Cargo","Boffa","9050000","0-Underway(Engine)","-27.745895","43.516148","2m07s","2025-08-19T05:48:22.000Z"
"Panama","LIMCO SILVER","Limco Shipping Co Ltd","3FWQ9","355191000","9284398","7-Cargo","Port Louis","8211700","0-Underway(Engine)","-25.751535","44.06867","1h12m","2025-08-19T04:37:44.000Z"
"Panama","BRILLIANT ACE","Prosper World Marine Co Ltd","HPAK","355911000","9598012","7-Cargo","Sg Sin","8301300","0-Underway(Engine)","-28.152333","44.486533","20m22s","2025-08-19T05:30:07.000Z"
"Panama","FRONTIER NEIGE","Southern Pacific Holding Corp","3FWS4","370797000","9482251","7-Cargo","Br Acx","9041700","0-Underway(Engine)","-27.012243","44.970762","18m17s","2025-08-19T05:32:12.000Z"
"Panama","DONG FANG JI DIAO","Jia He Shipping Ltd","3EZI7","371495000","9463334","7-Cargo","Fangchenggang Cn","9090600","0-Underway(Engine)","-28.348827","43.948255","17m26s","2025-08-19T05:33:03.000Z"
"Panama","CMA CGM KAILAS","CMA CGM SA The French Line","3ECM4","371866000","9339545","7-Cargo","Mgtmm>ytlon","8200500","0-Underway(Engine)","-12.917612","50.11499","15s","2025-08-19T05:50:14.000Z"
"Panama","XING HE SHENG","Hongkong Yusheng Shipping Co","3EIF4","372134000","9304148","7-Cargo","Singapore","9030700","0-Underway(Engine)","-14.6547","44.8779","56s","2025-08-19T05:49:33.000Z"
